,key,path,found_perm,true_perm,correct,overlap,luv_coords
139,c,../puck/data/images_copy/dark/davids/high/C/dark_davids_high_C_3.jpg,geh,efg,False,0,"[array([ 40,  93, 124], dtype=uint8), array([ 63, 123, 111], dtype=uint8), array([107, 110, 169], dtype=uint8)]"
140,c,../puck/data/images_copy/dark/davids/short/C/dark_davids_short_C_4.jpg,geh,efg,False,0,"[array([ 56,  91, 126], dtype=uint8), array([ 63, 123, 110], dtype=uint8), array([105, 109, 169], dtype=uint8)]"
141,c,../puck/data/images_copy/dark/davids/short/C/dark_davids_short_C_0.jpg,ged,efg,False,0,"[array([ 37,  92, 129], dtype=uint8), array([ 51, 117, 113], dtype=uint8), array([ 93, 109, 166], dtype=uint8)]"
142,c,../puck/data/images_copy/dark/davids/short/C/dark_davids_short_C_1.jpg,ehg,efg,False,2,"[array([ 54, 120, 111], dtype=uint8), array([ 99, 110, 169], dtype=uint8), array([ 28,  99, 111], dtype=uint8)]"
143,c,../puck/data/images_copy/dark/davids/short/C/dark_davids_short_C_3.jpg,efg,efg,True,3,"[array([103, 116, 108], dtype=uint8), array([151, 107, 164], dtype=uint8), array([ 70, 104,  98], dtype=uint8)]"
144,c,../puck/data/images_copy/dark/davids/short/C/dark_davids_short_C_2.jpg,edg,efg,False,2,"[array([ 43, 117, 120], dtype=uint8), array([ 87, 109, 167], dtype=uint8), array([  7,  98, 128], dtype=uint8)]"
145,c,../puck/data/images_copy/dark/davids/medium/C/dark_davids_medium_C_2.jpg,efg,efg,True,3,"[array([ 78, 115, 106], dtype=uint8), array([162, 106, 165], dtype=uint8), array([ 57, 104,  98], dtype=uint8)]"
146,c,../puck/data/images_copy/dark/davids/medium/C/dark_davids_medium_C_3.jpg,efg,efg,True,3,"[array([ 75, 116, 108], dtype=uint8), array([161, 105, 163], dtype=uint8), array([ 56, 103,  98], dtype=uint8)]"
147,c,../puck/data/images_copy/dark/davids/medium/C/dark_davids_medium_C_1.jpg,efg,efg,True,3,"[array([ 68, 115, 105], dtype=uint8), array([146, 108, 166], dtype=uint8), array([ 29,  99, 107], dtype=uint8)]"
148,c,../puck/data/images_copy/dark/davids/medium/C/dark_davids_medium_C_0.jpg,ehg,efg,False,2,"[array([ 60, 119, 107], dtype=uint8), array([110, 109, 169], dtype=uint8), array([ 11,  98, 124], dtype=uint8)]"
149,c,../puck/data/images_copy/dark/davids/medium/C/dark_davids_medium_C_4.jpg,ehg,efg,False,2,"[array([ 57, 119, 105], dtype=uint8), array([107, 108, 171], dtype=uint8), array([  8,  98, 126], dtype=uint8)]"
150,c,../puck/data/images_copy/dark/john_honey/high/C/dark_john_honey_high_C_3.jpg,bfg,efg,False,2,"[array([112, 144, 114], dtype=uint8), array([175, 115, 184], dtype=uint8), array([ 72, 109, 104], dtype=uint8)]"
151,c,../puck/data/images_copy/dark/john_honey/high/C/dark_john_honey_high_C_2.jpg,bfe,efg,False,1,"[array([119, 124, 107], dtype=uint8), array([187, 115, 191], dtype=uint8), array([ 86, 116, 105], dtype=uint8)]"
152,c,../puck/data/images_copy/dark/john_honey/high/C/dark_john_honey_high_C_0.jpg,bfe,efg,False,1,"[array([119, 124, 107], dtype=uint8), array([187, 115, 191], dtype=uint8), array([ 86, 116, 105], dtype=uint8)]"
153,c,../puck/data/images_copy/dark/john_honey/high/C/dark_john_honey_high_C_1.jpg,bfg,efg,False,2,"[array([109, 140, 112], dtype=uint8), array([187, 115, 189], dtype=uint8), array([ 71, 109, 100], dtype=uint8)]"
154,c,../puck/data/images_copy/dark/john_honey/high/C/dark_john_honey_high_C_4.jpg,bfg,efg,False,2,"[array([108, 142, 112], dtype=uint8), array([179, 113, 187], dtype=uint8), array([ 71, 107, 105], dtype=uint8)]"
155,c,../puck/data/images_copy/dark/john_honey/short/C/dark_john_honey_short_C_4.jpg,efg,efg,True,3,"[array([ 68, 122, 115], dtype=uint8), array([127, 110, 172], dtype=uint8), array([ 25, 103, 122], dtype=uint8)]"
156,c,../puck/data/images_copy/dark/john_honey/short/C/dark_john_honey_short_C_0.jpg,gef,efg,False,0,"[array([ 42,  95, 132], dtype=uint8), array([ 49, 119, 121], dtype=uint8), array([120, 113, 175], dtype=uint8)]"
157,c,../puck/data/images_copy/dark/john_honey/short/C/dark_john_honey_short_C_1.jpg,gef,efg,False,0,"[array([ 43,  94, 131], dtype=uint8), array([ 55, 122, 119], dtype=uint8), array([120, 114, 175], dtype=uint8)]"
158,c,../puck/data/images_copy/dark/john_honey/short/C/dark_john_honey_short_C_3.jpg,efg,efg,True,3,"[array([ 61, 127, 121], dtype=uint8), array([122, 112, 175], dtype=uint8), array([ 15, 100, 126], dtype=uint8)]"
159,c,../puck/data/images_copy/dark/john_honey/short/C/dark_john_honey_short_C_2.jpg,gef,efg,False,0,"[array([ 48,  94, 130], dtype=uint8), array([ 58, 122, 119], dtype=uint8), array([126, 114, 176], dtype=uint8)]"
160,c,../puck/data/images_copy/dark/john_honey/medium/C/dark_john_honey_medium_C_3.jpg,efg,efg,True,3,"[array([ 85, 133, 109], dtype=uint8), array([134, 112, 173], dtype=uint8), array([ 31, 103, 117], dtype=uint8)]"
161,c,../puck/data/images_copy/dark/john_honey/medium/C/dark_john_honey_medium_C_2.jpg,efg,efg,True,3,"[array([ 82, 132, 109], dtype=uint8), array([134, 111, 174], dtype=uint8), array([ 26, 102, 119], dtype=uint8)]"
162,c,../puck/data/images_copy/dark/john_honey/medium/C/dark_john_honey_medium_C_0.jpg,efg,efg,True,3,"[array([ 76, 124, 110], dtype=uint8), array([154, 117, 179], dtype=uint8), array([ 49, 106, 109], dtype=uint8)]"
163,c,../puck/data/images_copy/dark/john_honey/medium/C/dark_john_honey_medium_C_1.jpg,efg,efg,True,3,"[array([ 70, 123, 114], dtype=uint8), array([153, 116, 178], dtype=uint8), array([ 47, 106, 112], dtype=uint8)]"
164,c,../puck/data/images_copy/dark/john_honey/medium/C/dark_john_honey_medium_C_4.jpg,efg,efg,True,3,"[array([ 80, 133, 113], dtype=uint8), array([132, 111, 174], dtype=uint8), array([ 26, 101, 119], dtype=uint8)]"
165,c,../puck/data/images_copy/dark/jack_cole/high/C/dark_jack_cole_high_C_3.jpg,efg,efg,True,3,"[array([ 82, 117, 109], dtype=uint8), array([133, 108, 164], dtype=uint8), array([ 40, 103, 108], dtype=uint8)]"
166,c,../puck/data/images_copy/dark/jack_cole/high/C/dark_jack_cole_high_C_2.jpg,efg,efg,True,3,"[array([ 80, 118, 109], dtype=uint8), array([134, 108, 165], dtype=uint8), array([ 36, 102, 106], dtype=uint8)]"
