,0,1,2,3,4,5
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.3,0.12644675,4,True,True,0.12644675,"[1.0, 1.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.4,0.130957792,4,True,True,0.130957792,"[1.0, 1.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.5,0.150231041,4,True,True,0.150231041,"[1.0, 1.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.6,0.227238667,5,True,False,0.227238667,"[0.0, 1.0, 2.0, 2.23606797749979, 89.00561780022652]"
images_miniset/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg.0,0.112809,4,True,True,0.112809,"[0.0, 1.0, 1.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg.1,0.117357958,4,True,True,0.117357958,"[0.0, 1.0, 1.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg.2,0.121684292,4,True,True,0.121684292,"[0.0, 1.0, 1.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg.3,0.129228416,4,True,True,0.129228416,"[0.0, 1.0, 1.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg.4,0.130349334,4,True,True,0.130349334,"[0.0, 1.0, 1.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg.5,0.154495083,4,True,True,0.154495083,"[0.0, 1.0, 1.0, 2.23606797749979]"
